brake,brake_raw,clutch,clutch_raw,elapsed_time,force_feedback,lap_number,steering,steering_range_physical,steering_range_visual,steering_raw,steering_shaft_torque,throttle,throttle_raw
0.0,0.0,1.0,0.0,3180.5325000000003,0.008974527940154076,3,-0.0015284917317330837,0.0,719.0,-0.0015284917317330837,0.8974807643566131,0.0,0.0
0.0,0.0,1.0,0.0,3180.5325000000003,0.008974726311862469,3,-0.0015284917317330837,0.0,719.0,-0.0015284917317330837,0.8974807643566131,0.0,0.0
0.0,0.0,1.0,0.0,3180.5325000000003,0.008974768221378326,3,-0.0015284917317330837,0.0,719.0,-0.0015284917317330837,0.8974807643566131,0.0,0.0
0.0,0.0,1.0,0.0,3180.5325000000003,0.008974607102572918,3,-0.0015284917317330837,0.0,719.0,-0.0015284917317330837,0.8974807643566131,0.0,0.0
0.0,0.0,1.0,0.0,3180.5325000000003,0.008974788710474968,3,-0.0015284917317330837,0.0,719.0,-0.0015284917317330837,0.8974807643566131,0.0,0.0
0.0,0.0,1.0,0.0,3181.0325000000003,0.008974673226475716,3,-0.0015284917317330837,0.0,719.0,-0.0015284917317330837,0.8974880994662978,0.0,0.0
0.0,0.0,1.0,0.0,3181.1325,0.008974707685410976,3,-0.0015284917317330837,0.0,719.0,-0.0015284917317330837,0.8974656586405283,0.0,0.0
0.0,0.0,1.0,0.0,3181.2325,0.008974702097475529,3,-0.0015284917317330837,0.0,719.0,-0.0015284917317330837,0.8974688334575198,0.0,0.0
0.0,0.0,1.0,0.0,3181.3325,0.008974765427410603,3,-0.0015284917317330837,0.0,719.0,-0.0015284917317330837,0.8974677675515063,0.0,0.0
0.0,0.0,1.0,0.0,3181.4325000000003,0.008974731899797916,3,-0.0015284917317330837,0.0,719.0,-0.0015284917317330837,0.897495274517357,0.0,0.0
0.0,0.0,1.0,0.0,3181.5325000000003,0.008974793367087841,3,-0.0015284917317330837,0.0,719.0,-0.0015284917317330837,0.897479829051518,0.0,0.0
0.0,0.0,1.0,0.0,3181.6325,0.008974848315119743,3,-0.0015284917317330837,0.0,719.0,-0.0015284917317330837,0.8974646687984533,0.0,0.0
0.0,0.0,1.0,0.0,3181.7325,0.008974706754088402,3,-0.0015284917317330837,0.0,719.0,-0.0015284917317330837,0.8974793497269328,0.0,0.0
0.0,0.0,1.0,0.0,3181.8325,0.010357583872973919,3,-0.0016323813470080495,0.0,719.0,-0.0016323813470080495,1.0506399055372226,0.0,0.0
0.0,0.0,1.0,0.0,3181.9325000000003,0.011173550970852375,3,-0.0019047358073294163,0.0,719.0,-0.0019047358073294163,1.1112526328054106,0.0,0.0
0.0,0.0,1.0,0.0,3182.0325000000003,0.011141793802380562,3,-0.0019047358073294163,0.0,719.0,-0.0019047358073294163,1.1087672581237473,0.0,0.0
0.0,0.0,1.0,0.0,3182.1325,0.011115000583231449,3,-0.0019047358073294163,0.0,719.0,-0.0019047358073294163,1.1061315103361045,0.0,0.0
0.0,0.0,1.0,0.0,3182.2325,0.011099737137556076,3,-0.0019047358073294163,0.0,719.0,-0.0019047358073294163,1.1054959556084594,0.0,0.0
0.0,0.0,1.0,0.0,3182.3325,0.01108395867049694,3,-0.0019047358073294163,0.0,719.0,-0.0019047358073294163,1.1051102721696837,0.0,0.0
0.0,0.0,1.0,0.0,3182.4325000000003,0.011073913425207138,3,-0.0019047358073294163,0.0,719.0,-0.0019047358073294163,1.1056584393357565,0.0,0.0
0.0,0.0,1.0,0.0,3182.5325000000003,0.010807538405060768,3,-0.0018577052978798747,0.0,719.0,-0.0018577052978798747,1.0815853209409574,0.0,0.0
0.0,0.0,1.0,0.0,3182.6325,0.010561557486653328,3,-0.0018106747884303331,0.0,719.0,-0.0018106747884303331,1.055584442150871,0.0,0.0
0.0,0.0,1.0,0.0,3182.6925,0.010540521703660488,3,-0.0018106747884303331,0.0,719.0,-0.0018106747884303331,1.0540521842133963,0.0,0.0
0.0,0.0,1.0,0.0,3182.6925,0.010540521703660488,3,-0.0018106747884303331,0.0,719.0,-0.0018106747884303331,1.0540521842133963,0.0,0.0
0.0,0.0,1.0,0.0,3182.6925,0.010540521703660488,3,-0.0018106747884303331,0.0,719.0,-0.0018106747884303331,1.0540521842133963,0.0,0.0
0.0,0.0,1.0,0.0,3182.6925,0.010540521703660488,3,-0.0018106747884303331,0.0,719.0,-0.0018106747884303331,1.0540521842133963,0.0,0.0
0.0,0.0,1.0,0.0,3182.6925,0.010540521703660488,3,-0.0018106747884303331,0.0,719.0,-0.0018106747884303331,1.0540521842133963,0.0,0.0
0.0,0.0,1.0,0.0,3182.6925,0.010540521703660488,3,-0.0018106747884303331,0.0,719.0,-0.0018106747884303331,1.0540521842133963,0.0,0.0
