elapsed_time,lap_number,speed_kph,gear,rpm,throttle,brake,steering,pos_x,pos_y,pos_z,acc_x,acc_y,acc_z,sector,lap_dist,path_lateral,track_edge,surface_fl,surface_fr,surface_rl,surface_rr,lap_valid
214.9425,1,188.9042469102756,4,6395.169868315193,1.0,0.0,0.002888499991968274,-234.24749755859375,22.23600196838379,740.1156616210938,-0.5218496322631836,-1.3436652421951294,-2.470256805419922,2,6978.41357421875,-2.4865102767944336,-7.538000106811523,0,0,0,0,True
215.0425,1,189.86150708286434,4,6423.859139911185,1.0,0.0,0.0005281561752781272,-237.06080627441406,22.326828002929688,744.5597534179688,-0.683474600315094,0.6188624501228333,-2.80391263961792,0,7.291754722595215,-2.5553245544433594,-7.881999969482422,0,0,0,0,True
215.1425,1,190.7998424039282,4,6457.042129565913,1.0,0.0,-0.0009316029027104378,-239.88356018066406,22.426328659057617,749.0291137695312,-0.14486491680145264,2.1008260250091553,-2.8096508979797363,0,7.291754722595215,-2.5553245544433594,-7.881999969482422,0,0,0,0,True
215.2625,1,191.93403620508505,4,6497.9984937665995,1.0,0.0,-0.0015284873079508543,-243.28652954101562,22.56058692932129,754.4232177734375,0.016743063926696777,-0.8615798950195312,-2.778402805328369,0,17.881664276123047,-2.5713186264038086,-7.7779998779296875,0,0,0,0,True
215.3425,1,192.66485824823476,4,6527.626142285362,1.0,0.0,-0.0018103051697835326,-245.56532287597656,22.647672653198242,758.0372314453125,0.28756582736968994,-0.6032449007034302,-2.5023062229156494,0,17.881664276123047,-2.5713186264038086,-7.7779998779296875,0,0,0,0,True
215.4425,1,193.57653177857688,4,6554.654311875208,1.0,0.0,-0.007426266558468342,-248.42674255371094,22.750244140625,762.573974609375,0.17169064283370972,0.42592477798461914,-2.314908981323242,0,28.582914352416992,-2.5115416049957275,-7.675000190734863,0,0,0,0,True
215.5425,1,194.4989104545512,4,6573.98953922676,1.0,0.0,-0.01255826186388731,-251.30563354492188,22.85299301147461,767.129638671875,1.557064414024353,-0.1115952581167221,-2.544760227203369,0,28.582914352416992,-2.5115416049957275,-7.675000190734863,0,0,0,0,True
215.6425,1,195.3816868487059,4,6610.349022191488,1.0,0.0,-0.005180328153073788,-254.2086639404297,22.957977294921875,771.6996459960938,1.180302619934082,1.1073275804519653,-2.387080192565918,0,39.38420486450195,-2.373469352722168,-7.425000190734863,0,0,0,0,True
215.7425,1,196.27871384933655,4,6634.720594257116,1.0,0.0,0.0061963810585439205,-257.1351318359375,23.071897506713867,776.2837524414062,0.46661460399627686,-0.34179937839508057,-2.5229716300964355,0,39.38420486450195,-2.373469352722168,-7.425000190734863,0,0,0,0,True
215.8425,1,197.15222298739545,4,6665.403188260486,1.0,0.0,0.002132595283910632,-260.07757568359375,23.184791564941406,780.8868408203125,-0.5244556069374084,-1.1695048809051514,-2.4992074966430664,0,50.25481033325195,-2.2851645946502686,-7.275000095367432,0,0,0,0,True
215.9625,1,198.18044491682437,4,6697.000845474258,1.0,0.0,0.0007335974369198084,-263.6222229003906,23.309127807617188,786.4396362304688,-0.4721689820289612,1.0687589645385742,-2.6621530055999756,0,50.25481033325195,-2.2851645946502686,-7.275000095367432,0,0,0,0,True
216.0425,1,198.86644089854124,4,6722.184317573066,1.0,0.0,0.0010061736684292555,-265.9924011230469,23.396896362304688,790.1594848632812,-0.41808807849884033,0.8121850490570068,-2.5810322761535645,0,61.223873138427734,-2.274975061416626,-7.199999809265137,0,0,0,0,True
216.1625,1,199.88719591490784,4,6753.172904051253,1.0,0.0,-0.001947549288161099,-269.55914306640625,23.53371810913086,795.7656860351562,0.023697197437286377,-1.22963547706604,-2.2037620544433594,0,61.223873138427734,-2.274975061416626,-7.199999809265137,0,0,0,0,True
216.2425,1,200.54039560672487,4,6774.870976151198,1.0,0.0,-0.004812998231500387,-271.9460754394531,23.61948585510254,799.5194091796875,0.32729142904281616,0.8828481435775757,-2.4153153896331787,0,72.30087280273438,-2.285642385482788,-7.125,0,0,0,0,True
216.3425,1,201.3768648784547,4,6798.40675162847,1.0,0.0,-0.0038907432463020086,-274.9421081542969,23.73163414001465,804.2282104492188,0.2398337721824646,-0.8830130100250244,-2.2998828887939453,0,72.30087280273438,-2.285642385482788,-7.125,0,0,0,0,True
216.4625,1,202.33262902221983,4,6834.2072883392,1.0,0.0,-0.0001677310065133497,-278.5584716796875,23.85938835144043,809.90087890625,0.23000717163085938,0.48281019926071167,-2.154816150665283,0,83.47413635253906,-2.2716126441955566,-7.050000190734863,0,0,0,0,True
216.5425,1,202.9682262045827,4,6855.136007931035,1.0,0.0,-0.0010264627635478973,-280.98150634765625,23.945505142211914,813.6959228515625,0.1425614356994629,0.9012157320976257,-2.1434249877929688,0,83.47413635253906,-2.2716126441955566,-7.050000190734863,0,0,0,0,True
