brake,brake_raw,clutch,clutch_raw,elapsed_time,force_feedback,lap_number,steering,steering_range_physical,steering_range_visual,steering_raw,steering_shaft_torque,throttle,throttle_raw
0.0,0.0,0.0,0.0,312.6225,-0.19074398279190063,2,0.02517508529126644,0.0,719.0,0.02517508529126644,-5.165911347625503,1.0,1.0
0.0,0.0,0.0,0.0,312.7225,-0.3243007957935333,2,0.03771473094820976,0.0,719.0,0.03771473094820976,-14.201280218110137,1.0,1.0
0.0,0.0,0.0,0.0,312.84250000000003,-0.32882222533226013,2,0.014914997853338718,0.0,719.0,0.014914997853338718,-12.093350438094292,1.0,1.0
0.0,0.0,0.0,0.0,312.9225,-0.23060113191604614,2,0.01721148006618023,0.0,719.0,0.01721148006618023,-4.986493922282787,1.0,1.0
0.0,0.0,0.0,0.0,313.0425,-0.3650495707988739,2,0.034686069935560226,0.0,719.0,0.034686069935560226,-13.197560532761788,1.0,1.0
0.0,0.0,0.0,0.0,313.1225,-0.19983239471912384,2,0.002587373834103346,0.0,719.0,0.002587373834103346,-8.561137704468543,1.0,1.0
0.0,0.0,0.0,0.0,313.2225,-0.12570123374462128,2,0.006533094681799412,0.0,719.0,0.006533094681799412,-1.4513298434161113,1.0,1.0
0.0,0.0,0.0,0.0,313.3225,-0.2949069142341614,2,0.039300430566072464,0.0,719.0,0.039300430566072464,-11.733267352520105,1.0,1.0
0.0,0.0,0.0,0.0,313.4225,-0.1939460039138794,2,0.007947959937155247,0.0,719.0,0.007947959937155247,-9.041062200578223,1.0,1.0
0.0,0.0,0.0,0.0,313.5225,-0.1677619069814682,2,0.006550657097250223,0.0,719.0,0.006550657097250223,-3.7711321145254,1.0,1.0
0.0,0.0,0.0,0.0,313.6225,-0.2546658515930176,2,0.02849368192255497,0.0,719.0,0.02849368192255497,-10.43344337606001,1.0,1.0
0.0,0.0,0.0,0.0,313.7425,-0.2227223664522171,2,0.002066258806735277,0.0,719.0,0.002066258806735277,-8.155607433749037,1.0,1.0
0.0,0.0,0.0,0.0,313.8225,-0.050578583031892776,2,-0.00014608459605369717,0.0,719.0,-0.00014608459605369717,1.3409281579610588,1.0,1.0
0.0,0.0,0.0,0.0,313.9425,-0.24748671054840088,2,0.022959070280194283,0.0,719.0,0.022959070280194283,-5.437796608994328,1.0,1.0
0.0,0.0,0.0,0.0,314.0425,-0.0020489830058068037,2,-0.0019477946916595101,0.0,719.0,-0.0019477946916595101,-3.849239868733344,1.0,1.0
0.0,0.0,0.0,0.0,314.1225,0.12540630996227264,2,-0.01328347995877266,0.0,719.0,-0.01328347995877266,6.069683801476535,1.0,1.0
0.0,0.0,0.0,0.0,314.2425,0.05969545245170593,2,-0.011488795280456543,0.0,719.0,-0.011488795280456543,7.221887673119541,1.0,1.0
0.0,0.0,0.0,0.0,314.34250000000003,0.2699128985404968,2,-0.013780965469777584,0.0,719.0,-0.013780965469777584,6.303741000613934,1.0,1.0
0.0,0.0,0.0,0.0,314.4225,0.1259603500366211,2,-0.006131561938673258,0.0,719.0,-0.006131561938673258,8.563668891661308,1.0,1.0
0.0,0.0,0.0,0.0,314.5425,0.22880712151527405,2,-0.026037704199552536,0.0,719.0,-0.026037704199552536,10.952268023936542,1.0,1.0
0.0,0.0,0.0,0.0,314.6225,0.24671374261379242,2,-0.0188792385160923,0.0,719.0,-0.0188792385160923,9.85249121005107,1.0,1.0
0.0,0.0,0.0,0.0,314.7425,0.1958879679441452,2,-0.014317567460238934,0.0,719.0,-0.014317567460238934,9.610791410014064,1.0,1.0
0.0,0.0,0.0,0.0,314.84250000000003,0.21681292355060577,2,-0.023671451956033707,0.0,719.0,-0.023671451956033707,14.308592845453044,1.0,1.0
