accel_lateral,accel_longitudinal,accel_vertical,class_name,damage_severity_0,damage_severity_1,damage_severity_2,damage_severity_3,damage_severity_4,damage_severity_5,damage_severity_6,damage_severity_7,downforce_front,downforce_rear,driver_name,elapsed_time,finish_state,fuel,impact_magnitude,impact_position_0,impact_position_1,impact_time,in_garage,in_pits,is_detached,is_driving,is_player,lap_number,number_penalties,number_pitstops,orientation_yaw_radians,pit_request,place,player_index,position_lateral,position_longitudinal,position_vertical,position_xyz_0,position_xyz_1,position_xyz_2,qualification,same_class,slot_id,speed,tank_capacity,total_vehicles,vehicle_name,velocity_lateral,velocity_longitudinal,velocity_vertical
-1.4330193996429443,-3.304344892501831,1.2841432094573975,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,1124.2625,0,11.180604379772994,0.0,-0.0,0.0,0.0,False,False,False,1,False,7,0,0,-2.569110864347855,False,37,37,-743.41357421875,-239.09478759765625,22.26312828063965,-239.09478759765625,22.26312828063965,743.41357421875,40,True,0,53.12014881827963,117.0,38,Manthey Ema 2024 #91:LM,0.03504371643066406,-53.119869232177734,-0.16874587535858154
-1.0334281921386719,-2.6915011405944824,1.5585368871688843,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,1124.3825000000002,0,11.175689486272267,0.0,-0.0,0.0,0.0,False,False,False,1,False,7,0,0,-2.5712400438119962,False,37,37,-748.789306640625,-242.55311584472656,22.38839340209961,-242.55311584472656,22.38839340209961,748.789306640625,40,True,0,53.432768726518404,117.0,38,Manthey Ema 2024 #91:LM,0.024250030517578125,-53.432579040527344,-0.1402953863143921
-0.8704676628112793,-2.570787191390991,-0.4048016667366028,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,1124.4625,0,11.17240871678487,0.0,-0.0,0.0,0.0,False,False,False,1,False,7,0,0,-2.5724467851542485,False,37,37,-752.3949584960938,-244.86383056640625,22.478431701660156,-244.86383056640625,22.478431701660156,752.3949584960938,40,True,0,53.64678668077793,117.0,38,Manthey Ema 2024 #91:LM,0.019565582275390625,-53.646602630615234,-0.13915657997131348
-0.8270549178123474,-2.386212110519409,-0.7173189520835876,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,1124.5825,0,11.16747953583961,0.0,-0.0,0.0,0.0,False,False,False,1,False,7,0,0,-2.5738376265124687,False,37,37,-757.8344116210938,-248.33944702148438,22.610883712768555,-248.33944702148438,22.610883712768555,757.8344116210938,40,True,0,53.9586275927257,117.0,38,Manthey Ema 2024 #91:LM,0.016628265380859375,-53.95844650268555,-0.13880276679992676
-1.0795254707336426,-2.6054930686950684,0.8623167872428894,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,1124.6625000000001,0,11.164189151643312,0.0,-0.0,0.0,0.0,False,False,False,1,False,7,0,0,-2.5751604054767476,False,37,37,-761.4813232421875,-250.6627655029297,22.694284439086914,-250.6627655029297,22.694284439086914,761.4813232421875,40,True,0,54.1619547308222,117.0,38,Manthey Ema 2024 #91:LM,0.016965866088867188,-54.161773681640625,-0.13901108503341675
-1.2704062461853027,-2.4880106449127197,-0.4836427569389343,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,1124.7825,0,11.159247360573605,0.0,-0.0,0.0,0.0,False,False,False,1,False,7,0,0,-2.5777197465805783,False,37,37,-766.9841918945312,-254.1538543701172,22.825132369995117,-254.1538543701172,22.825132369995117,766.9841918945312,40,True,0,54.46898964343069,117.0,38,Manthey Ema 2024 #91:LM,0.024538040161132812,-54.46882629394531,-0.13112139701843262
-1.1221427917480469,-2.30850887298584,2.041818380355835,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,1124.8825000000002,0,11.155123479157188,0.0,-0.0,0.0,0.0,False,False,False,1,False,7,0,0,-2.5800550075427378,False,37,37,-771.6000366210938,-257.0668640136719,22.936986923217773,-257.0668640136719,22.936986923217773,771.6000366210938,40,True,0,54.71931496367313,117.0,38,Manthey Ema 2024 #91:LM,0.03320121765136719,-54.719058990478516,-0.16404563188552856
-0.5589326024055481,-2.3987200260162354,-2.268373966217041,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,1124.9825,0,11.150995396212389,0.0,-0.0,0.0,0.0,False,False,False,1,False,7,0,0,-2.5813116558583924,False,37,37,-776.2426147460938,-259.984130859375,23.060436248779297,-259.984130859375,23.060436248779297,776.2426147460938,40,True,0,54.96698379708178,117.0,38,Manthey Ema 2024 #91:LM,0.0219879150390625,-54.96684265136719,-0.12261003255844116
-0.3543969392776489,-2.012476682662964,-0.25199076533317566,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,1125.0825,0,11.146862395796049,0.0,-0.0,0.0,0.0,False,False,False,1,False,7,0,0,-2.581272922204114,False,37,37,-780.9085693359375,-262.91015625,23.1722469329834,-262.91015625,23.1722469329834,780.9085693359375,40,True,0,55.20646330695959,117.0,38,Manthey Ema 2024 #91:LM,-0.01358795166015625,-55.20624923706055,-0.15313851833343506
-0.5788800716400146,-2.376852035522461,0.856718897819519,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,1125.1825000000001,0,11.142725001884754,0.0,-0.0,0.0,0.0,False,False,False,1,False,7,0,0,-2.5822424758213556,False,37,37,-785.5967407226562,-265.845703125,23.2800350189209,-265.845703125,23.2800350189209,785.5967407226562,40,True,0,55.4412111001661,117.0,38,Manthey Ema 2024 #91:LM,-0.0036792755126953125,-55.44103240966797,-0.140712708234787
