auto_clutch,drs_status,elapsed_time,headlights,ignition_starter,lap_number,speed_limiter
False,0,426.2025,False,1,2,0
False,0,426.3025,False,1,2,0
False,0,426.40250000000003,False,1,2,0
False,0,426.5025,False,1,2,0
False,0,426.6025,False,1,2,0
False,0,426.7025,False,1,2,0
False,0,426.8025,False,1,2,0
False,0,426.90250000000003,False,1,2,0
False,0,427.0025,False,1,2,0
False,0,427.1025,False,1,2,0
False,0,427.2025,False,1,2,0
False,0,427.3025,False,1,2,0
False,0,427.40250000000003,False,1,2,0
False,0,427.5025,False,1,2,0
False,0,427.6225,False,1,2,0
False,0,427.7025,False,1,2,0
False,0,427.8025,False,1,2,0
False,0,427.90250000000003,False,1,2,0
False,0,428.0025,False,1,2,0
False,0,428.1225,False,1,2,0
False,0,428.2025,False,1,2,0
False,0,428.3225,False,1,2,0
False,0,428.4225,False,1,2,0
False,0,428.5025,False,1,2,0
False,0,428.6225,False,1,2,0
False,0,428.7025,False,1,2,0
False,0,428.8225,False,1,2,0
False,0,428.9225,False,1,2,0
False,0,429.0225,False,1,2,0
False,0,429.1225,False,1,2,0
False,0,429.2225,False,1,2,0
False,0,429.3225,False,1,2,0
False,0,429.4225,False,1,2,0
False,0,429.5225,False,1,2,0
False,0,429.6225,False,1,2,0
False,0,429.7225,False,1,2,0
False,0,429.8225,False,1,2,0
False,0,429.9225,False,1,2,0
False,0,430.0225,False,1,2,0
False,0,430.1225,False,1,2,0
False,0,430.2225,False,1,2,0
False,0,430.3225,False,1,2,0
False,0,430.4225,False,1,2,0
False,0,430.5425,False,1,2,0
False,0,430.6225,False,1,2,0
False,0,430.7425,False,1,2,0
False,0,430.8225,False,1,2,0
False,0,430.9425,False,1,2,0
False,0,431.0425,False,1,2,0
False,0,431.1225,False,1,2,0
False,0,431.2425,False,1,2,0
False,0,431.3225,False,1,2,0
False,0,431.4425,False,1,2,0
False,0,431.5225,False,1,2,0
False,0,431.6425,False,1,2,0
False,0,431.7425,False,1,2,0
False,0,431.84250000000003,False,1,2,0
False,0,431.9225,False,1,2,0
False,0,432.0425,False,1,2,0
False,0,432.1425,False,1,2,0
False,0,432.2425,False,1,2,0
False,0,432.34250000000003,False,1,2,0
False,0,432.4425,False,1,2,0
False,0,432.5425,False,1,2,0
False,0,432.6625,False,1,2,0
False,0,432.7425,False,1,2,0
False,0,432.84250000000003,False,1,2,0
False,0,432.9425,False,1,2,0
False,0,433.0425,False,1,2,0
False,0,433.1425,False,1,2,0
False,0,433.2425,False,1,2,0
False,0,433.3625,False,1,2,0
False,0,433.4425,False,1,2,0
False,0,433.5625,False,1,2,0
False,0,433.6425,False,1,2,0
False,0,433.7625,False,1,2,0
False,0,433.8625,False,1,2,0
False,0,433.96250000000003,False,1,2,0
False,0,434.0625,False,1,2,0
False,0,434.1425,False,1,2,0
False,0,434.2625,False,1,2,0
False,0,434.34250000000003,False,1,2,0
False,0,434.46250000000003,False,1,2,0
False,0,434.5625,False,1,2,0
False,0,434.6625,False,1,2,0
False,0,434.7625,False,1,2,0
False,0,434.8625,False,1,2,0
False,0,434.96250000000003,False,1,2,0
False,0,435.0625,False,1,2,0
False,0,435.1625,False,1,2,0
False,0,435.2625,False,1,2,0
False,0,435.3625,False,1,2,0
False,0,435.46250000000003,False,1,2,0
False,0,435.5625,False,1,2,0
False,0,435.6625,False,1,2,0
False,0,435.7625,False,1,2,0
False,0,435.8625,False,1,2,0
False,0,435.96250000000003,False,1,2,0
False,0,436.0625,False,1,2,0
False,0,436.1625,False,1,2,0
False,0,436.2825,False,1,2,0
False,0,436.3625,False,1,2,0
False,0,436.4825,False,1,2,0
False,0,436.5825,False,1,2,0
False,0,436.6625,False,1,2,0
False,0,436.7825,False,1,2,0
False,0,436.8825,False,1,2,0
False,0,436.9825,False,1,2,0
False,0,437.0825,False,1,2,0
False,0,437.1825,False,1,2,0
False,0,437.2825,False,1,2,0
False,0,437.3625,False,1,2,0
False,0,437.4825,False,1,2,0
False,0,437.5825,False,1,2,0
False,0,437.6825,False,1,2,0
False,0,437.7825,False,1,2,0
False,0,437.8825,False,1,2,0
False,0,437.9825,False,1,2,0
False,0,438.0825,False,1,2,0
False,0,438.1825,False,1,2,0
False,0,438.2825,False,1,2,0
False,0,438.3825,False,1,2,0
False,0,438.4825,False,1,2,0
False,0,438.5825,False,1,2,0
False,0,438.6825,False,1,2,0
False,0,438.7825,False,1,2,0
False,0,438.8825,False,1,2,0
False,0,439.0025,False,1,2,0
False,0,439.0825,False,1,2,0
False,0,439.2025,False,1,2,0
False,0,439.2825,False,1,2,0
False,0,439.40250000000003,False,1,2,0
False,0,439.5025,False,1,2,0
False,0,439.6025,False,1,2,0
False,0,439.7025,False,1,2,0
False,0,439.7825,False,1,2,0
False,0,439.90250000000003,False,1,2,0
False,0,440.0025,False,1,2,0
False,0,440.1025,False,1,2,0
False,0,440.2025,False,1,2,0
False,0,440.3025,False,1,2,0
False,0,440.40250000000003,False,1,2,0
False,0,440.5025,False,1,2,0
False,0,440.6025,False,1,2,0
False,0,440.7025,False,1,2,0
False,0,440.8025,False,1,2,0
False,0,440.90250000000003,False,1,2,0
False,0,441.0025,False,1,2,0
False,0,441.1025,False,1,2,0
False,0,441.2025,False,1,2,0
False,0,441.3225,False,1,2,0
False,0,441.40250000000003,False,1,2,0
False,0,441.5225,False,1,2,0
False,0,441.6025,False,1,2,0
False,0,441.7225,False,1,2,0
False,0,441.8225,False,1,2,0
False,0,441.90250000000003,False,1,2,0
False,0,442.0225,False,1,2,0
False,0,442.1025,False,1,2,0
False,0,442.2225,False,1,2,0
False,0,442.3225,False,1,2,0
False,0,442.4225,False,1,2,0
False,0,442.5225,False,1,2,0
False,0,442.6225,False,1,2,0
False,0,442.7225,False,1,2,0
False,0,442.8225,False,1,2,0
False,0,442.9225,False,1,2,0
False,0,443.0225,False,1,2,0
False,0,443.1225,False,1,2,0
False,0,443.2225,False,1,2,0
False,0,443.3225,False,1,2,0
False,0,443.4425,False,1,2,0
False,0,443.5225,False,1,2,0
False,0,443.6225,False,1,2,0
False,0,443.7225,False,1,2,0
False,0,443.8225,False,1,2,0
False,0,443.9225,False,1,2,0
False,0,444.0225,False,1,2,0
False,0,444.1425,False,1,2,0
False,0,444.2225,False,1,2,0
False,0,444.34250000000003,False,1,2,0
False,0,444.4425,False,1,2,0
False,0,444.5225,False,1,2,0
False,0,444.6425,False,1,2,0
False,0,444.7425,False,1,2,0
False,0,444.84250000000003,False,1,2,0
False,0,444.9225,False,1,2,0
False,0,445.0425,False,1,2,0
False,0,445.1425,False,1,2,0
False,0,445.2425,False,1,2,0
False,0,445.34250000000003,False,1,2,0
False,0,445.4425,False,1,2,0
False,0,445.5425,False,1,2,0
False,0,445.6425,False,1,2,0
False,0,445.7425,False,1,2,0
False,0,445.84250000000003,False,1,2,0
False,0,445.9425,False,1,2,0
