accel_lateral,accel_longitudinal,accel_vertical,class_name,damage_severity_0,damage_severity_1,damage_severity_2,damage_severity_3,damage_severity_4,damage_severity_5,damage_severity_6,damage_severity_7,downforce_front,downforce_rear,driver_name,elapsed_time,finish_state,fuel,impact_magnitude,impact_position_0,impact_position_1,impact_time,in_garage,in_pits,is_detached,is_driving,is_player,lap_number,number_penalties,number_pitstops,orientation_yaw_radians,path_lateral,pit_request,place,player_index,position_lateral,position_longitudinal,position_vertical,position_xyz_0,position_xyz_1,position_xyz_2,qualification,same_class,slot_id,speed,tank_capacity,total_vehicles,track_edge,vehicle_name,velocity_lateral,velocity_longitudinal,velocity_vertical
11.721148490905762,-1.8297159671783447,-0.5387216806411743,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,3506.8125,0,82.48483986985839,0.0,-0.0,0.0,0.0,False,False,False,1,True,6,0,0,-2.6440652376249574,3.864737033843994,False,1,0,-14.674031257629395,3.3703150749206543,13.246512413024902,3.3703150749206543,13.246512413024902,14.674031257629395,1,True,0,58.07014331864245,117.0,1,7.525000095367432,Manthey PureRxcing 2024 #92:LM,-0.7513103485107422,-58.065185546875,0.10632598400115967
11.981849670410156,-2.02052903175354,0.15507136285305023,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,3506.8925,0,82.48155541689908,0.0,-0.0,0.0,0.0,False,False,False,1,True,6,0,0,-2.6269944335194797,3.864737033843994,False,1,0,-18.769962310791016,1.1683753728866577,13.228748321533203,1.1683753728866577,13.228748321533203,18.769962310791016,1,True,0,58.18820453895757,117.0,1,7.525000095367432,Manthey PureRxcing 2024 #92:LM,-0.7792415618896484,-58.18289566040039,0.10287189483642578
12.671558380126953,-1.7313408851623535,-0.061156295239925385,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,3507.0125000000003,0,82.47663445689399,0.0,-0.0,0.0,0.0,False,False,False,1,True,6,0,0,-2.6000480014508254,3.9556026458740234,False,1,0,-24.85757827758789,-2.2726526260375977,13.208477020263672,-2.2726526260375977,13.208477020263672,24.85757827758789,1,True,0,58.36358800829977,117.0,1,7.625000476837158,Manthey PureRxcing 2024 #92:LM,-0.8580379486083984,-58.3571662902832,0.11540645360946655
12.703261375427246,-1.4075522422790527,-0.10228778421878815,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,3507.0925,0,82.47335584116875,0.0,-0.0,0.0,0.0,False,False,False,1,True,6,0,0,-2.5821704956661136,3.9556026458740234,False,1,0,-28.87560272216797,-4.659200668334961,13.198719024658203,-4.659200668334961,13.198719024658203,28.87560272216797,1,True,0,58.47354570306951,117.0,1,7.625000476837158,Manthey PureRxcing 2024 #92:LM,-0.8889427185058594,-58.46668243408203,0.11123436689376831
12.0606689453125,-1.9283909797668457,-0.8082317113876343,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,3507.2125,0,82.4684371547747,0.0,-0.0,0.0,0.0,False,False,False,1,True,6,0,0,-2.557032606052478,3.5443639755249023,False,1,0,-34.83905792236328,-8.37592887878418,13.18580436706543,-8.37592887878418,13.18580436706543,34.83905792236328,1,True,0,58.64157409047445,117.0,1,7.674999713897705,Manthey PureRxcing 2024 #92:LM,-0.8817672729492188,-58.63483810424805,0.11161887645721436
12.510258674621582,1.3455491065979004,0.16483081877231598,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,3507.2925,0,82.46700231714159,0.0,-0.0,0.0,0.0,False,False,False,1,True,6,0,0,-2.5401648914217088,3.5443639755249023,False,1,0,-38.76906967163086,-10.941240310668945,13.175881385803223,-10.941240310668945,13.175881385803223,38.76906967163086,1,True,0,58.623123726526636,117.0,1,7.674999713897705,Manthey PureRxcing 2024 #92:LM,-0.8858585357666016,-58.61625289916992,0.14417409896850586
11.916519165039062,-1.8233118057250977,-0.17328226566314697,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,3507.4125,0,82.46242531381138,0.0,-0.0,0.0,0.0,False,False,False,1,True,6,0,0,-2.5147306833157623,2.63297438621521,False,1,0,-44.58760452270508,-14.918023109436035,13.164226531982422,-14.918023109436035,13.164226531982422,44.58760452270508,1,True,0,58.84078234731287,117.0,1,7.674999713897705,Manthey PureRxcing 2024 #92:LM,-0.897186279296875,-58.833839416503906,0.10983413457870483
9.797310829162598,-2.022886037826538,0.8281718492507935,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,3507.5125000000003,0,82.4583559374824,0.0,-0.0,0.0,0.0,False,False,False,1,True,6,0,0,-2.5002635485738094,2.63297438621521,False,1,0,-49.378211975097656,-18.34971046447754,13.156478881835938,-18.34971046447754,13.156478881835938,49.378211975097656,1,True,0,59.019454657743076,117.0,1,7.674999713897705,Manthey PureRxcing 2024 #92:LM,-0.6480083465576172,-59.01580810546875,0.10250335931777954
4.71430778503418,-1.9538482427597046,-1.8204776048660278,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,3507.6125,0,82.45428613326862,0.0,-0.0,0.0,0.0,False,False,False,1,True,6,0,0,-2.4937896701330824,1.247402310371399,False,1,0,-54.1285514831543,-21.868684768676758,13.153656005859375,-21.868684768676758,13.153656005859375,54.1285514831543,1,True,0,59.221633828789805,117.0,1,7.700000286102295,Manthey PureRxcing 2024 #92:LM,-0.2960205078125,-59.22080993652344,0.09977811574935913
0.2838139533996582,-2.325317859649658,1.0795931816101074,GT3,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,3507.7125,0,82.45022073575385,0.0,-0.0,0.0,0.0,False,False,False,1,True,6,0,0,-2.493641788908528,1.247402310371399,False,1,0,-58.86792755126953,-25.43770408630371,13.14570426940918,-25.43770408630371,13.14570426940918,58.86792755126953,1,True,0,59.431285866742876,117.0,1,7.700000286102295,Manthey PureRxcing 2024 #92:LM,-0.08365631103515625,-59.43122100830078,0.026661932468414307
