behind_leader,behind_next,completed_laps,distance,elapsed_time,lap_number,maximum,number,progress,sector_index,track_length
0,0,6,10.160654067993164,3506.8125,6,2147483647,6,0.0018797162941096978,0,5405.4189453125
0,0,6,10.160654067993164,3506.8925,6,2147483647,6,0.0018797162941096978,0,5405.4189453125
0,0,6,21.80091667175293,3507.0125000000003,6,2147483647,6,0.004033159481682426,0,5405.4189453125
0,0,6,21.80091667175293,3507.0925,6,2147483647,6,0.004033159481682426,0,5405.4189453125
0,0,6,33.49078369140625,3507.2125,6,2147483647,6,0.006195779463208669,0,5405.4189453125
0,0,6,33.49078369140625,3507.2925,6,2147483647,6,0.006195779463208669,0,5405.4189453125
0,0,6,45.19508361816406,3507.4125,6,2147483647,6,0.008361069525861003,0,5405.4189453125
0,0,6,45.19508361816406,3507.5125000000003,6,2147483647,6,0.008361069525861003,0,5405.4189453125
0,0,6,56.916282653808594,3507.6125,6,2147483647,6,0.010529485915826295,0,5405.4189453125
0,0,6,56.916282653808594,3507.7125,6,2147483647,6,0.010529485915826295,0,5405.4189453125
0,0,6,68.68846130371094,3507.8125,6,2147483647,6,0.012707333510805219,0,5405.4189453125
0,0,6,68.68846130371094,3507.9125,6,2147483647,6,0.012707333510805219,0,5405.4189453125
0,0,6,80.55133056640625,3508.0125000000003,6,2147483647,6,0.014901958827124617,0,5405.4189453125
0,0,6,80.55133056640625,3508.1125,6,2147483647,6,0.014901958827124617,0,5405.4189453125
0,0,6,92.51251983642578,3508.2125,6,2147483647,6,0.01711477329923729,0,5405.4189453125
0,0,6,92.51251983642578,3508.3125,6,2147483647,6,0.01711477329923729,0,5405.4189453125
0,0,6,104.56697845458984,3508.4125,6,2147483647,6,0.019344842557535488,0,5405.4189453125
0,0,6,104.56697845458984,3508.5125000000003,6,2147483647,6,0.019344842557535488,0,5405.4189453125
0,0,6,116.69415283203125,3508.6125,6,2147483647,6,0.021588364197603353,0,5405.4189453125
0,0,6,116.69415283203125,3508.7125,6,2147483647,6,0.021588364197603353,0,5405.4189453125
0,0,6,128.8874053955078,3508.8125,6,2147483647,6,0.023844110271466948,0,5405.4189453125
0,0,6,128.8874053955078,3508.9125,6,2147483647,6,0.023844110271466948,0,5405.4189453125
0,0,6,141.1186981201172,3509.0125000000003,6,2147483647,6,0.02610689375751222,0,5405.4189453125
0,0,6,141.1186981201172,3509.1125,6,2147483647,6,0.02610689375751222,0,5405.4189453125
0,0,6,153.37452697753906,3509.2125,6,2147483647,6,0.028374216416757705,0,5405.4189453125
0,0,6,153.37452697753906,3509.3325,6,2147483647,6,0.028374216416757705,0,5405.4189453125
0,0,6,165.6658935546875,3509.4125,6,2147483647,6,0.030648113537684353,0,5405.4189453125
0,0,6,165.6658935546875,3509.5325000000003,6,2147483647,6,0.030648113537684353,0,5405.4189453125
0,0,6,178.03463745117188,3509.6125,6,2147483647,6,0.03293632542683133,0,5405.4189453125
0,0,6,178.03463745117188,3509.7125,6,2147483647,6,0.03293632542683133,0,5405.4189453125
0,0,6,190.48797607421875,3509.8125,6,2147483647,6,0.03524018730119099,0,5405.4189453125
0,0,6,190.48797607421875,3509.9125,6,2147483647,6,0.03524018730119099,0,5405.4189453125
0,0,6,203.01950073242188,3510.0325000000003,6,2147483647,6,0.03755851355582298,0,5405.4189453125
0,0,6,203.01950073242188,3510.1125,6,2147483647,6,0.03755851355582298,0,5405.4189453125
0,0,6,215.63375854492188,3510.2325,6,2147483647,6,0.03989214540566117,0,5405.4189453125
0,0,6,215.63375854492188,3510.3125,6,2147483647,6,0.03989214540566117,0,5405.4189453125
0,0,6,228.29531860351562,3510.4325000000003,6,2147483647,6,0.042234528149106734,0,5405.4189453125
0,0,6,228.29531860351562,3510.5125000000003,6,2147483647,6,0.042234528149106734,0,5405.4189453125
0,0,6,240.9645233154297,3510.6325,6,2147483647,6,0.04457832514987401,0,5405.4189453125
0,0,6,240.9645233154297,3510.7325,6,2147483647,6,0.04457832514987401,0,5405.4189453125
0,0,6,253.64085388183594,3510.8125,6,2147483647,6,0.04692344043042021,0,5405.4189453125
0,0,6,253.64085388183594,3510.9325000000003,6,2147483647,6,0.04692344043042021,0,5405.4189453125
0,0,6,266.36181640625,3511.0325000000003,6,2147483647,6,0.049276812602515305,0,5405.4189453125
0,0,6,266.36181640625,3511.1325,6,2147483647,6,0.049276812602515305,0,5405.4189453125
