elapsed_time,lap_number,update_trigger,behind_leader,behind_next,best_laptime,best_sector1,best_sector2,current_laptime,current_sector1,current_sector2,last_laptime,last_sector1,last_sector2,delta_best,estimated_laptime,estimated_time_into,sector_index,track_length,position_lateral,in_garage,in_pits,is_player,place,finish_state,green_flag,yellow_flag,blue_flag,in_race,in_countdown,in_formation,pit_open,raininess,wetness_average,wetness_minimum,wetness_maximum,session_elapsed,session_remaining,auto_clutch,drs_status,headlights,ignition_starter,speed_limiter
1113.1425000000002,5,sector_complete,0.0,0.0,103.33828735351562,26.88958740234375,65.82510375976562,0.006269531250154614,26.88958740234375,66.13934326171875,-1.0,-1.0,-1.0,0.8185198587376732,102.5126724243164,102.36993408203125,2,5745.078125,5.0442118644714355,False,False,False,1,0,True,False,False,False,False,False,True,0.0,0.0,0.0,0.0,1113.0,692.0,False,0,False,1,0
1113.2025,5,sector_complete,0.0,0.0,103.33828735351562,26.88958740234375,65.82510375976562,0.06626953125010004,-1.0,-1.0,104.15692138671875,26.88958740234375,66.13934326171875,0.8185198587376732,102.5126724243164,0.036965738981962204,0,5745.078125,4.780419826507568,False,False,False,1,0,True,False,False,False,False,False,True,0.0,0.0,0.0,0.0,1113.2,691.8,False,0,False,1,0
1114.2025,5,periodic,0.0,0.0,103.33828735351562,26.88958740234375,65.82510375976562,1.0662695312501,-1.0,-1.0,104.15692138671875,26.88958740234375,66.13934326171875,0.031190218696073968,102.5126724243164,0.9580075740814209,0,5745.078125,4.105074405670166,False,False,False,1,0,True,False,False,False,False,False,True,0.0,0.0,0.0,0.0,1114.2,690.8,False,0,False,1,0
1115.2025,5,periodic,0.0,0.0,103.33828735351562,26.88958740234375,65.82510375976562,2.0662695312501,-1.0,-1.0,104.15692138671875,26.88958740234375,66.13934326171875,0.24385316466868856,102.5126724243164,1.6878957748413086,0,5745.078125,3.98132586479187,False,False,False,1,0,True,False,False,False,False,False,True,0.0,0.0,0.0,0.0,1115.2,689.8,False,0,False,1,0
1116.2025,5,periodic,0.0,0.0,103.33828735351562,26.88958740234375,65.82510375976562,3.0662695312501,-1.0,-1.0,104.15692138671875,26.88958740234375,66.13934326171875,0.6418048960838187,102.5126724243164,2.216670274734497,0,5745.078125,5.15209436416626,False,False,False,1,0,True,False,False,False,False,False,True,0.0,0.0,0.0,0.0,1116.2,688.8,False,0,False,1,0
1117.2025,5,periodic,0.0,0.0,103.33828735351562,26.88958740234375,65.82510375976562,4.0662695312501,-1.0,-1.0,104.15692138671875,26.88958740234375,66.13934326171875,1.2385065074678447,102.5126724243164,2.542661666870117,0,5745.078125,5.8327131271362305,False,False,False,1,0,True,False,False,False,False,False,True,0.0,0.0,0.0,0.0,1117.2,687.8,False,0,False,1,0
1118.2025,5,periodic,0.0,0.0,103.33828735351562,26.88958740234375,65.82510375976562,5.0662695312501,-1.0,-1.0,104.15692138671875,26.88958740234375,66.13934326171875,1.9526020950062235,102.5126724243164,2.6896188259124756,0,5745.078125,5.986692905426025,False,False,False,1,0,True,True,False,False,False,False,True,0.0,0.0,0.0,0.0,1118.2,686.8,False,0,False,1,0
1119.2025,5,periodic,0.0,0.0,103.33828735351562,26.88958740234375,65.82510375976562,6.0662695312501,-1.0,-1.0,104.15692138671875,26.88958740234375,66.13934326171875,1.9526020950062235,102.5126724243164,2.703012704849243,0,5745.078125,5.995707035064697,False,False,False,1,0,True,True,False,False,False,False,True,0.0,0.0,0.0,0.0,1119.2,685.8,False,0,False,1,0
1120.2025,5,periodic,0.0,0.0,103.33828735351562,26.88958740234375,65.82510375976562,7.0662695312501,-1.0,-1.0,104.15692138671875,26.88958740234375,66.13934326171875,1.9526020950062235,102.5126724243164,2.7025442123413086,0,5745.078125,5.9954094886779785,False,False,False,1,0,True,True,False,False,False,False,True,0.0,0.0,0.0,0.0,1120.2,684.8,False,0,False,1,0
1121.2025,5,periodic,0.0,0.0,103.33828735351562,26.88958740234375,65.82510375976562,8.0662695312501,-1.0,-1.0,104.15692138671875,26.88958740234375,66.13934326171875,1.9526020950062235,102.5126724243164,2.7015292644500732,0,5745.078125,5.99470329284668,False,False,False,1,0,True,True,False,False,False,False,True,0.0,0.0,0.0,0.0,1121.2,683.8,False,0,False,1,0
