accel_lateral,accel_longitudinal,accel_vertical,anti_stall_activated,class_name,clutch_rpm,damage_severity_0,damage_severity_1,damage_severity_2,damage_severity_3,damage_severity_4,damage_severity_5,damage_severity_6,damage_severity_7,downforce_front,downforce_rear,driver_name,elapsed_time,finish_state,fuel,impact_magnitude,impact_position_0,impact_position_1,impact_time,in_garage,in_pits,is_detached,is_driving,is_player,lap_number,number_penalties,number_pitstops,orientation_yaw_radians,overheating,path_lateral,physics_to_graphics_offset_0,physics_to_graphics_offset_1,physics_to_graphics_offset_2,pit_request,place,player_index,position_lateral,position_longitudinal,position_vertical,position_xyz_0,position_xyz_1,position_xyz_2,qualification,rotation_lateral,rotation_longitudinal,rotation_vertical,rotational_acceleration_lateral,rotational_acceleration_longitudinal,rotational_acceleration_vertical,same_class,scheduled_stops,slot_id,speed,tank_capacity,total_vehicles,track_edge,vehicle_name,velocity_lateral,velocity_longitudinal,velocity_vertical
-1.249760389328003,-1.8374556303024292,0.22646722197532654,False,GT3,8541.50230369785,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,293.0825,0,79.04145581493724,0.0,-0.0,0.0,0.0,False,False,False,1,False,2,0,0,3.0678240353362827,False,4.165020942687988,7.152557373046875e-07,-0.3630000054836273,-0.16703321039676666,False,14,23,453.0338439941406,-303.52093505859375,-2.0185554027557373,-303.52093505859375,-2.0185554027557373,-453.0338439941406,17,0.009672682732343674,0.05436279624700546,0.01355752069503069,0.8274182677268982,2.4884841442108154,0.6926200985908508,True,255,0,64.1601065551719,117.0,24,5.974999904632568,Iron Dames 2025 #85:LM,0.035062313079833984,-64.15966796875,0.23462724685668945
-0.6734771132469177,-1.4642425775527954,-1.0030261278152466,False,GT3,8558.474634985392,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,293.1625,0,79.03833095566073,0.0,-0.0,0.0,0.0,False,False,False,1,False,2,0,0,3.066806590370459,False,4.165020942687988,7.152557373046875e-07,-0.3630000054836273,-0.16703321039676666,False,14,23,447.91015625,-303.14300537109375,-1.994571566581726,-303.14300537109375,-1.994571566581726,-447.91015625,17,-0.008035984821617603,-0.008774414658546448,0.016299396753311157,-0.409851998090744,-0.03899839520454407,-0.18952523171901703,True,255,0,64.27985516291649,117.0,24,5.974999904632568,Iron Dames 2025 #85:LM,0.04947948455810547,-64.27946472167969,0.21851004660129547
-0.6106243133544922,-1.3857457637786865,0.941849946975708,False,GT3,8583.411925495415,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,293.2825,0,79.03364098979792,0.0,-0.0,0.0,0.0,False,False,False,1,False,2,0,0,3.065241055037201,False,3.7704341411590576,7.152557373046875e-07,-0.3630000054836273,-0.16703321039676666,False,1,23,440.2080078125,-302.5657958984375,-1.9633301496505737,-302.5657958984375,-1.9633301496505737,-440.2080078125,17,0.0083242142572999,-0.015232297591865063,0.010246039368212223,-1.6460779905319214,-0.4865570068359375,0.05088395997881889,True,255,0,64.45176038218106,117.0,24,5.925000190734863,Iron Dames 2025 #85:LM,0.05186796188354492,-64.45144653320312,0.19433438777923584
-0.41527172923088074,-1.3119970560073853,-0.9128698706626892,False,GT3,8595.185231274572,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,293.3625,0,79.0305125455844,0.0,-0.0,0.0,0.0,False,False,False,1,False,2,0,0,3.064682565691513,False,3.7704341411590576,7.152557373046875e-07,-0.3630000054836273,-0.16703321039676666,False,1,23,435.0621337890625,-302.1746520996094,-1.9368027448654175,-302.1746520996094,-1.9368027448654175,-435.0621337890625,17,-0.014604965224862099,-0.01243360061198473,0.005553475581109524,0.11818329244852066,0.5242922306060791,-0.24841824173927307,True,255,0,64.56699745009038,117.0,24,5.925000190734863,Iron Dames 2025 #85:LM,0.04580259323120117,-64.56655883789062,0.2335415929555893
-0.24312356114387512,-1.2480194568634033,1.3333443403244019,False,GT3,8617.747180969785,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,293.4825,0,79.02581753741883,0.0,-0.0,0.0,0.0,False,False,False,1,False,2,0,0,3.0642513643468297,False,3.449972629547119,7.152557373046875e-07,-0.3630000054836273,-0.16703321039676666,False,1,23,427.3269348144531,-301.58038330078125,-1.9015471935272217,-301.58038330078125,-1.9015471935272217,-427.3269348144531,17,0.021182775497436523,-0.02746540494263172,0.006413026712834835,-0.813029944896698,-0.6439292430877686,0.219058096408844,True,255,0,64.73409036209975,117.0,24,5.849999904632568,Iron Dames 2025 #85:LM,0.01708221435546875,-64.73374938964844,0.20941147208213806
-0.3749614357948303,-1.1796780824661255,-0.6881878972053528,False,GT3,8631.685415398051,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,293.5625,0,79.02268576605391,0.0,-0.0,0.0,0.0,False,False,False,1,False,2,0,0,3.0636401180042947,False,3.449972629547119,7.152557373046875e-07,-0.3630000054836273,-0.16703321039676666,False,1,23,422.1592102050781,-301.180419921875,-1.8731355667114258,-301.180419921875,-1.8731355667114258,-422.1592102050781,17,-0.024971500039100647,-0.009295851923525333,0.005666225217282772,0.8581671714782715,1.4332319498062134,-0.04981452599167824,True,255,0,64.84537132593526,117.0,24,5.849999904632568,Iron Dames 2025 #85:LM,0.02930593490600586,-64.84488677978516,0.24896200001239777
-0.17876854538917542,-1.2117031812667847,0.7661343216896057,False,GT3,8649.068201050666,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,293.6825,0,79.01798585134355,0.0,-0.0,0.0,0.0,False,False,False,1,False,2,0,0,3.062989128928955,False,3.1844444274902344,7.152557373046875e-07,-0.3630000054836273,-0.16703321039676666,False,1,23,414.3916320800781,-300.5740051269531,-1.834609866142273,-300.5740051269531,-1.834609866142273,-414.3916320800781,17,0.01512905117124319,-0.04215787723660469,0.006730376742780209,1.0494534969329834,-1.2130717039108276,0.11382922530174255,True,255,0,65.00846298693949,117.0,24,5.900000095367432,Iron Dames 2025 #85:LM,0.02122783660888672,-65.00802612304688,0.23737920820713043
-0.3278454542160034,-1.3420584201812744,-0.12645579874515533,False,GT3,8666.804251171823,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,293.7825,0,79.01406706879051,0.0,-0.0,0.0,0.0,False,False,False,1,False,2,0,0,3.062346159650415,False,3.1844444274902344,7.152557373046875e-07,-0.3630000054836273,-0.16703321039676666,False,1,23,407.9041748046875,-300.06341552734375,-1.801540493965149,-300.06341552734375,-1.801540493965149,-407.9041748046875,17,-0.00327791809104383,0.007607439998537302,0.001911223866045475,0.8806080222129822,-1.9132354259490967,0.08722929656505585,True,255,0,65.14329594690423,117.0,24,5.900000095367432,Iron Dames 2025 #85:LM,0.020141124725341797,-65.14286041259766,0.23735716938972473
-0.4848553240299225,-1.384934663772583,-0.45638057589530945,False,GT3,8685.37113278545,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,293.8825,0,79.01014653175375,0.0,-0.0,0.0,0.0,False,False,False,1,False,2,0,0,3.062036939525377,False,2.9503121376037598,7.152557373046875e-07,-0.3630000054836273,-0.16703321039676666,False,1,23,401.4035949707031,-299.5487060546875,-1.770066738128662,-299.5487060546875,-1.770066738128662,-401.4035949707031,17,-0.0036475909873843193,0.02915118634700775,0.0010441095801070333,0.10453485697507858,-0.44572538137435913,-0.1843053549528122,True,255,0,65.27660085432564,117.0,24,5.925000190734863,Iron Dames 2025 #85:LM,0.015553951263427734,-65.27621459960938,0.22401945292949677
0.09771645069122314,-1.3561007976531982,-0.11237329989671707,False,GT3,8700.993433938236,0,0,0,0,0,0,0,0,0.0,0.0,Lance Arevalo,293.9825,0,79.00622425220891,0.0,-0.0,0.0,0.0,False,False,False,1,False,2,0,0,3.0620495562111723,False,2.9503121376037598,7.152557373046875e-07,-0.3630000054836273,-0.16703321039676666,False,1,23,394.88995361328125,-299.0308837890625,-1.7420830726623535,-299.0308837890625,-1.7420830726623535,-394.88995361328125,17,0.0018203472718596458,0.006829430814832449,-0.006058314349502325,0.554547905921936,0.759032666683197,-0.2035168558359146,True,255,0,65.40756349338974,117.0,24,5.925000190734863,Iron Dames 2025 #85:LM,0.01349496841430664,-65.40718841552734,0.22109636664390564
