behind_leader,behind_next,best_laptime,best_sector1,best_sector2,current_laptime,current_sector1,current_sector2,delta_best,elapsed,elapsed_time,estimated_laptime,estimated_time_into,lap_number,last_laptime,last_sector1,last_sector2,start
9.215415000915527,3.73751163482666,113.46345520019531,37.584747314453125,75.70848083496094,0.1506457519531068,-1.0,-1.0,-0.0008231148195165516,293.0825,293.0825,111.87369537353516,0.04022654518485069,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
9.215415000915527,3.73751163482666,113.46345520019531,37.584747314453125,75.70848083496094,0.23064575195314774,-1.0,-1.0,-0.0015866081191755754,293.1625,293.1625,111.87369537353516,0.04022654518485069,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,0.3506457519531523,-1.0,-1.0,-0.0018962011509371934,293.2825,293.2825,111.87369537353516,0.23713095486164093,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,0.43064575195313637,-1.0,-1.0,-0.0026015363378552037,293.3625,293.3625,111.87369537353516,0.23713095486164093,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,0.5506457519531409,-1.0,-1.0,-0.0032540771778182265,293.4825,293.4825,111.87369537353516,0.4398646354675293,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,0.630645751953125,-1.0,-1.0,-0.0038754832234502157,293.5625,293.5625,111.87369537353516,0.4398646354675293,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,0.7506457519531295,-1.0,-1.0,-0.00430858389023725,293.6825,293.6825,111.87369537353516,0.6425516605377197,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,0.8506457519531523,-1.0,-1.0,-0.005624728987440597,293.7825,293.7825,111.87369537353516,0.6425516605377197,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,0.9506457519531182,-1.0,-1.0,-0.006051759711068527,293.8825,293.8825,111.87369537353516,0.8452516794204712,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,1.050645751953141,-1.0,-1.0,-0.006483993648721542,293.9825,293.9825,111.87369537353516,0.8452516794204712,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,1.1506457519531068,-1.0,-1.0,-0.007152960997616198,294.0825,294.0825,111.87369537353516,1.0478767156600952,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,1.2506457519531295,-1.0,-1.0,-0.007577437049192337,294.1825,294.1825,111.87369537353516,1.0478767156600952,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,1.3506457519531523,-1.0,-1.0,-0.008108523194288342,294.2825,294.2825,111.87369537353516,1.2504595518112183,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,1.4506457519531182,-1.0,-1.0,-0.008622538040695682,294.3825,294.3825,111.87369537353516,1.2504595518112183,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,1.550645751953141,-1.0,-1.0,-0.009600492471016242,294.4825,294.4825,111.87369537353516,1.4530085325241089,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,1.6506457519531068,-1.0,-1.0,-0.0100718101703281,294.5825,294.5825,111.87369537353516,1.4530085325241089,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,1.7506457519531295,-1.0,-1.0,-0.01053405445964839,294.6825,294.6825,111.87369537353516,1.6554663181304932,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,1.8506457519531523,-1.0,-1.0,-0.010892633289873555,294.7825,294.7825,111.87369537353516,1.6554663181304932,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,1.9506457519531182,-1.0,-1.0,-0.011338894260502164,294.8825,294.8825,111.87369537353516,1.8579132556915283,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,2.0706457519531227,-1.0,-1.0,-0.011777218177351001,295.0025,295.0025,111.87369537353516,2.060330390930176,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
0.0,0.0,113.46345520019531,37.584747314453125,75.70848083496094,2.150645751953107,-1.0,-1.0,-0.01220880549018366,295.0825,295.0825,111.87369537353516,2.060330390930176,2,113.46345520019531,37.584747314453125,75.70848083496094,292.9318542480469
