ambient_temperature,blue_flag,elapsed,elapsed_time,end,green_flag,in_countdown,in_formation,in_race,lap_number,lap_type,pit_open,raininess,remaining,session_type,start,start_lights,track_name,track_temperature,wetness_0,wetness_1,wetness_2,wetness_average,wetness_maximum,wetness_minimum,yellow_flag
25.0,False,3506.8,3506.8125,10505.0,True,False,False,False,6,False,True,0.0,6998.2,1,43200.0,6,Lusail International Circuit,41.38351950413943,0.0,0.0,0.0,0.0,0.0,0.0,False
25.0,False,3506.8,3506.8925,10505.0,True,False,False,False,6,False,True,0.0,6998.2,1,43200.0,6,Lusail International Circuit,41.38351950413943,0.0,0.0,0.0,0.0,0.0,0.0,False
25.0,False,3507.0,3507.0125000000003,10505.0,True,False,False,False,6,False,True,0.0,6998.0,1,43200.0,6,Lusail International Circuit,41.38351950413943,0.0,0.0,0.0,0.0,0.0,0.0,False
25.0,False,3507.0,3507.0925,10505.0,True,False,False,False,6,False,True,0.0,6998.0,1,43200.0,6,Lusail International Circuit,41.38351950413943,0.0,0.0,0.0,0.0,0.0,0.0,False
25.0,False,3507.2000000000003,3507.2125,10505.0,True,False,False,False,6,False,True,0.0,6997.799999999999,1,43200.0,6,Lusail International Circuit,41.38351950413943,0.0,0.0,0.0,0.0,0.0,0.0,False
25.0,False,3507.2000000000003,3507.2925,10505.0,True,False,False,False,6,False,True,0.0,6997.799999999999,1,43200.0,6,Lusail International Circuit,41.38351950413943,0.0,0.0,0.0,0.0,0.0,0.0,False
25.0,False,3507.4,3507.4125,10505.0,True,False,False,False,6,False,True,0.0,6997.6,1,43200.0,6,Lusail International Circuit,41.38351950413943,0.0,0.0,0.0,0.0,0.0,0.0,False
25.0,False,3507.4,3507.5125000000003,10505.0,True,False,False,False,6,False,True,0.0,6997.6,1,43200.0,6,Lusail International Circuit,41.38351950413943,0.0,0.0,0.0,0.0,0.0,0.0,False
25.0,False,3507.6,3507.6125,10505.0,True,False,False,False,6,False,True,0.0,6997.4,1,43200.0,6,Lusail International Circuit,41.38351950413943,0.0,0.0,0.0,0.0,0.0,0.0,False
25.0,False,3507.6,3507.7125,10505.0,True,False,False,False,6,False,True,0.0,6997.4,1,43200.0,6,Lusail International Circuit,41.38351950413943,0.0,0.0,0.0,0.0,0.0,0.0,False
25.0,False,3507.8,3507.8125,10505.0,True,False,False,False,6,False,True,0.0,6997.2,1,43200.0,6,Lusail International Circuit,41.38351950413943,0.0,0.0,0.0,0.0,0.0,0.0,False
25.0,False,3507.8,3507.9125,10505.0,True,False,False,False,6,False,True,0.0,6997.2,1,43200.0,6,Lusail International Circuit,41.38351950413943,0.0,0.0,0.0,0.0,0.0,0.0,False
25.0,False,3508.0,3508.0125000000003,10505.0,True,False,False,False,6,False,True,0.0,6997.0,1,43200.0,6,Lusail International Circuit,41.38351950413943,0.0,0.0,0.0,0.0,0.0,0.0,False
