auto_clutch,drs_status,elapsed_time,headlights,ignition_starter,lap_number,speed_limiter
False,0,3506.8125,False,1,6,0
False,0,3506.8925,False,1,6,0
False,0,3507.0125000000003,False,1,6,0
False,0,3507.0925,False,1,6,0
False,0,3507.2125,False,1,6,0
False,0,3507.2925,False,1,6,0
False,0,3507.4125,False,1,6,0
False,0,3507.5125000000003,False,1,6,0
False,0,3507.6125,False,1,6,0
False,0,3507.7125,False,1,6,0
False,0,3507.8125,False,1,6,0
False,0,3507.9125,False,1,6,0
False,0,3508.0125000000003,False,1,6,0
False,0,3508.1125,False,1,6,0
False,0,3508.2125,False,1,6,0
False,0,3508.3125,False,1,6,0
False,0,3508.4125,False,1,6,0
False,0,3508.5125000000003,False,1,6,0
False,0,3508.6125,False,1,6,0
False,0,3508.7125,False,1,6,0
False,0,3508.8125,False,1,6,0
False,0,3508.9125,False,1,6,0
False,0,3509.0125000000003,False,1,6,0
False,0,3509.1125,False,1,6,0
False,0,3509.2125,False,1,6,0
False,0,3509.3325,False,1,6,0
False,0,3509.4125,False,1,6,0
False,0,3509.5325000000003,False,1,6,0
False,0,3509.6125,False,1,6,0
False,0,3509.7125,False,1,6,0
False,0,3509.8125,False,1,6,0
False,0,3509.9125,False,1,6,0
False,0,3510.0325000000003,False,1,6,0
False,0,3510.1125,False,1,6,0
False,0,3510.2325,False,1,6,0
False,0,3510.3125,False,1,6,0
False,0,3510.4325000000003,False,1,6,0
False,0,3510.5125000000003,False,1,6,0
False,0,3510.6325,False,1,6,0
False,0,3510.7325,False,1,6,0
False,0,3510.8125,False,1,6,0
False,0,3510.9325000000003,False,1,6,0
False,0,3511.0325000000003,False,1,6,0
False,0,3511.1325,False,1,6,0
False,0,3511.2125,False,1,6,0
False,0,3511.3325,False,1,6,0
False,0,3511.4325000000003,False,1,6,0
False,0,3511.5325000000003,False,1,6,0
False,0,3511.6325,False,1,6,0
False,0,3511.7325,False,1,6,0
False,0,3511.8325,False,1,6,0
False,0,3511.9325000000003,False,1,6,0
False,0,3512.0325000000003,False,1,6,0
False,0,3512.1325,False,1,6,0
False,0,3512.2325,False,1,6,0
False,0,3512.3325,False,1,6,0
False,0,3512.4325000000003,False,1,6,0
False,0,3512.5325000000003,False,1,6,0
False,0,3512.6325,False,1,6,0
False,0,3512.7325,False,1,6,0
False,0,3512.8525,False,1,6,0
False,0,3512.9325000000003,False,1,6,0
False,0,3513.0525000000002,False,1,6,0
False,0,3513.1525,False,1,6,0
False,0,3513.2325,False,1,6,0
False,0,3513.3525,False,1,6,0
False,0,3513.4325000000003,False,1,6,0
False,0,3513.5525000000002,False,1,6,0
False,0,3513.6325,False,1,6,0
False,0,3513.7525,False,1,6,0
False,0,3513.8525,False,1,6,0
False,0,3513.9525000000003,False,1,6,0
False,0,3514.0525000000002,False,1,6,0
False,0,3514.1525,False,1,6,0
False,0,3514.2525,False,1,6,0
False,0,3514.3325,False,1,6,0
False,0,3514.4525000000003,False,1,6,0
False,0,3514.5525000000002,False,1,6,0
False,0,3514.6525,False,1,6,0
False,0,3514.7525,False,1,6,0
False,0,3514.8525,False,1,6,0
False,0,3514.9525000000003,False,1,6,0
False,0,3515.0525000000002,False,1,6,0
False,0,3515.1525,False,1,6,0
False,0,3515.2725,False,1,6,0
False,0,3515.3525,False,1,6,0
False,0,3515.4725000000003,False,1,6,0
