ambient_temperature,blue_flag,elapsed,elapsed_time,end,green_flag,in_countdown,in_formation,in_race,lap_number,lap_type,pit_open,raininess,remaining,session_type,start,start_lights,track_name,track_temperature,wetness_0,wetness_1,wetness_2,wetness_average,wetness_maximum,wetness_minimum,yellow_flag
11.0,False,370.8,370.90250000000003,10505.0,True,False,False,False,2,False,True,0.0,10134.2,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,371.0,371.0025,10505.0,True,False,False,False,2,False,True,0.0,10134.0,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,371.0,371.1025,10505.0,True,False,False,False,2,False,True,0.0,10134.0,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,371.2,371.2225,10505.0,True,False,False,False,2,False,True,0.0,10133.8,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,371.2,371.3025,10505.0,True,False,False,False,2,False,True,0.0,10133.8,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,371.40000000000003,371.4225,10505.0,True,False,False,False,2,False,True,0.0,10133.6,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,371.40000000000003,371.5025,10505.0,True,False,False,False,2,False,True,0.0,10133.6,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,371.6,371.6225,10505.0,True,False,False,False,2,False,True,0.0,10133.4,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,371.6,371.7225,10505.0,True,False,False,False,2,False,True,0.0,10133.4,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,371.8,371.8025,10505.0,True,False,False,False,2,False,True,0.0,10133.2,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,371.8,371.9225,10505.0,True,False,False,False,2,False,True,0.0,10133.2,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,372.0,372.0025,10505.0,True,False,False,False,2,False,True,0.0,10133.0,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,372.0,372.1225,10505.0,True,False,False,False,2,False,True,0.0,10133.0,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,372.2,372.2225,10505.0,True,False,False,False,2,False,True,0.0,10132.8,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,372.2,372.3225,10505.0,True,False,False,False,2,False,True,0.0,10132.8,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,372.40000000000003,372.4225,10505.0,True,False,False,False,2,False,True,0.0,10132.6,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,372.40000000000003,372.5225,10505.0,True,False,False,False,2,False,True,0.0,10132.6,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,372.6,372.6225,10505.0,True,False,False,False,2,False,True,0.0,10132.4,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,372.6,372.7225,10505.0,True,False,False,False,2,False,True,0.0,10132.4,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,372.8,372.8225,10505.0,True,False,False,False,2,False,True,0.0,10132.2,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,372.8,372.9225,10505.0,True,False,False,False,2,False,True,0.0,10132.2,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,373.0,373.0225,10505.0,True,False,False,False,2,False,True,0.0,10132.0,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,373.0,373.1225,10505.0,True,False,False,False,2,False,True,0.0,10132.0,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,373.2,373.2225,10505.0,True,False,False,False,2,False,True,0.0,10131.8,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,373.2,373.3225,10505.0,True,False,False,False,2,False,True,0.0,10131.8,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
11.0,False,373.40000000000003,373.4225,10505.0,True,False,False,False,2,False,True,0.0,10131.6,1,41400.0,6,Circuit de Spa-Francorchamps,31.038414206002074,0.0,0.0,0.0,0.0,0.0,0.0,False
