behind_leader,behind_next,best_laptime,best_sector1,best_sector2,current_laptime,current_sector1,current_sector2,elapsed,elapsed_time,estimated_laptime,estimated_time_into,lap_number,last_laptime,last_sector1,last_sector2,start
0.0,0.0,117.449462890625,35.02874755859375,76.33651733398438,0.3161401367187864,-1.0,-1.0,524.5225,524.5225,104.60347747802734,0.15730726718902588,4,134.66259765625,49.864166259765625,93.0430908203125,524.2063598632812
0.0,0.0,117.449462890625,35.02874755859375,76.33651733398438,0.4161401367188091,-1.0,-1.0,524.6225000000001,524.6225000000001,104.60347747802734,0.3558622896671295,4,134.66259765625,49.864166259765625,93.0430908203125,524.2063598632812
0.0,0.0,117.449462890625,35.02874755859375,76.33651733398438,0.5361401367188137,-1.0,-1.0,524.7425000000001,524.7425000000001,104.60347747802734,0.3558622896671295,4,134.66259765625,49.864166259765625,93.0430908203125,524.2063598632812
0.0,0.0,117.449462890625,35.02874755859375,76.33651733398438,0.6161401367188546,-1.0,-1.0,524.8225000000001,524.8225000000001,104.60347747802734,0.5547837615013123,4,134.66259765625,49.864166259765625,93.0430908203125,524.2063598632812
0.0,0.0,117.449462890625,35.02874755859375,76.33651733398438,0.7361401367188591,-1.0,-1.0,524.9425000000001,524.9425000000001,104.60347747802734,0.5547837615013123,4,134.66259765625,49.864166259765625,93.0430908203125,524.2063598632812
0.0,0.0,117.449462890625,35.02874755859375,76.33651733398438,0.8161401367187864,-1.0,-1.0,525.0225,525.0225,104.60347747802734,0.7520329356193542,4,134.66259765625,49.864166259765625,93.0430908203125,524.2063598632812
0.0,0.0,117.449462890625,35.02874755859375,76.33651733398438,0.9361401367187909,-1.0,-1.0,525.1425,525.1425,104.60347747802734,0.7520329356193542,4,134.66259765625,49.864166259765625,93.0430908203125,524.2063598632812
0.0,0.0,117.449462890625,35.02874755859375,76.33651733398438,1.0161401367188319,-1.0,-1.0,525.2225000000001,525.2225000000001,104.60347747802734,0.9514772891998291,4,134.66259765625,49.864166259765625,93.0430908203125,524.2063598632812
0.0,0.0,117.449462890625,35.02874755859375,76.33651733398438,1.1161401367188546,-1.0,-1.0,525.3225000000001,525.3225000000001,104.60347747802734,0.9514772891998291,4,134.66259765625,49.864166259765625,93.0430908203125,524.2063598632812
0.0,0.0,117.449462890625,35.02874755859375,76.33651733398438,1.2361401367188591,-1.0,-1.0,525.4425000000001,525.4425000000001,104.60347747802734,1.1509543657302856,4,134.66259765625,49.864166259765625,93.0430908203125,524.2063598632812
